I (68858) APP_MAIN: Gyro drift estimate Z = -0.002 °/s, Δ = -0.002 °/s , Yaw =  -0.10°
I (128858) APP_MAIN: Gyro drift estimate Z = -0.002 °/s, Δ = +0.000 °/s , Yaw =  -0.09°
I (188858) APP_MAIN: Gyro drift estimate Z = -0.003 °/s, Δ = -0.000 °/s , Yaw =  -0.10°
I (248858) APP_MAIN: Gyro drift estimate Z = -0.004 °/s, Δ = -0.002 °/s , Yaw =  -0.17°
I (308858) APP_MAIN: Gyro drift estimate Z = -0.007 °/s, Δ = -0.002 °/s , Yaw =  -0.26°
I (368858) APP_MAIN: Gyro drift estimate Z = -0.004 °/s, Δ = +0.002 °/s , Yaw =  -0.18°
I (428858) APP_MAIN: Gyro drift estimate Z = -0.004 °/s, Δ = +0.000 °/s , Yaw =  -0.16°
I (488858) APP_MAIN: Gyro drift estimate Z = +0.002 °/s, Δ = +0.006 °/s , Yaw =  +0.09°
I (548858) APP_MAIN: Gyro drift estimate Z = +0.011 °/s, Δ = +0.008 °/s , Yaw =  +0.43°
I (608858) APP_MAIN: Gyro drift estimate Z = +0.015 °/s, Δ = +0.004 °/s , Yaw =  +0.60°
I (668858) APP_MAIN: Gyro drift estimate Z = +0.013 °/s, Δ = -0.002 °/s , Yaw =  +0.51°
I (728858) APP_MAIN: Gyro drift estimate Z = +0.012 °/s, Δ = -0.001 °/s , Yaw =  +0.49°
I (788858) APP_MAIN: Gyro drift estimate Z = +0.009 °/s, Δ = -0.003 °/s , Yaw =  +0.38°
I (848858) APP_MAIN: Gyro drift estimate Z = +0.010 °/s, Δ = +0.001 °/s , Yaw =  +0.40°
I (908858) APP_MAIN: Gyro drift estimate Z = +0.008 °/s, Δ = -0.002 °/s , Yaw =  +0.31°
I (968858) APP_MAIN: Gyro drift estimate Z = +0.008 °/s, Δ = +0.001 °/s , Yaw =  +0.33°
I (1028858) APP_MAIN: Gyro drift estimate Z = -0.001 °/s, Δ = -0.009 °/s , Yaw =  -0.03°
I (1088858) APP_MAIN: Gyro drift estimate Z = -0.005 °/s, Δ = -0.004 °/s , Yaw =  -0.21°
I (1148858) APP_MAIN: Gyro drift estimate Z = -0.007 °/s, Δ = -0.001 °/s , Yaw =  -0.27°
I (1208858) APP_MAIN: Gyro drift estimate Z = -0.005 °/s, Δ = +0.002 °/s , Yaw =  -0.20°
I (1268858) APP_MAIN: Gyro drift estimate Z = -0.002 °/s, Δ = +0.003 °/s , Yaw =  -0.06°
I (1328858) APP_MAIN: Gyro drift estimate Z = -0.002 °/s, Δ = -0.001 °/s , Yaw =  -0.10°
I (1388858) APP_MAIN: Gyro drift estimate Z = -0.004 °/s, Δ = -0.002 °/s , Yaw =  -0.18°
I (1448858) APP_MAIN: Gyro drift estimate Z = +0.003 °/s, Δ = +0.008 °/s , Yaw =  +0.13°
I (1508858) APP_MAIN: Gyro drift estimate Z = +0.010 °/s, Δ = +0.007 °/s , Yaw =  +0.42°
I (1568858) APP_MAIN: Gyro drift estimate Z = +0.012 °/s, Δ = +0.001 °/s , Yaw =  +0.48°
I (1628858) APP_MAIN: Gyro drift estimate Z = +0.012 °/s, Δ = +0.001 °/s , Yaw =  +0.50°
I (1688858) APP_MAIN: Gyro drift estimate Z = +0.011 °/s, Δ = -0.001 °/s , Yaw =  +0.45°
I (1748858) APP_MAIN: Gyro drift estimate Z = +0.013 °/s, Δ = +0.002 °/s , Yaw =  +0.53°
I (1808858) APP_MAIN: Gyro drift estimate Z = +0.013 °/s, Δ = +0.000 °/s , Yaw =  +0.53°
I (1868858) APP_MAIN: Gyro drift estimate Z = +0.014 °/s, Δ = +0.001 °/s , Yaw =  +0.55°
I (1928858) APP_MAIN: Gyro drift estimate Z = +0.010 °/s, Δ = -0.004 °/s , Yaw =  +0.40°
I (1988858) APP_MAIN: Gyro drift estimate Z = +0.008 °/s, Δ = -0.002 °/s , Yaw =  +0.31°
I (2048858) APP_MAIN: Gyro drift estimate Z = +0.013 °/s, Δ = +0.005 °/s , Yaw =  +0.51°
